iter	Passed	Remaining
0	46	4635
1	47	2322
2	47	1548
3	48	1165
4	49	932
5	49	776
6	50	669
7	50	585
8	51	522
9	52	469
10	53	430
11	53	393
12	54	362
13	54	336
14	55	313
15	55	293
16	56	274
17	56	258
18	57	244
19	57	230
20	58	218
21	58	208
22	59	197
23	59	188
24	60	180
25	60	172
26	61	165
27	61	158
28	62	152
29	62	146
30	63	140
31	63	135
32	64	130
33	64	125
34	65	120
35	65	116
36	66	112
37	66	108
38	67	104
39	67	101
40	68	97
41	68	94
42	69	91
43	69	88
44	70	85
45	70	82
46	70	80
47	72	78
48	73	76
49	73	73
50	74	71
51	74	68
52	75	66
53	75	64
54	76	62
55	76	60
56	76	58
57	77	56
58	78	54
59	78	52
60	79	50
61	79	48
62	80	47
63	81	45
64	81	43
65	82	42
66	82	40
67	83	39
68	83	37
69	83	35
70	84	34
71	84	32
72	85	31
73	85	30
74	86	28
75	86	27
76	87	26
77	87	24
78	88	23
79	88	22
80	88	20
81	90	19
82	91	18
83	91	17
84	92	16
85	92	15
86	93	13
87	93	12
88	94	11
89	94	10
90	95	9
91	95	8
92	96	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	99	1
99	100	0
